股票,证券代码,分类,现价_参考,首仓价
申能股份,600642.SH,电力/综合能源,8.58,8.50
广州发展,600098.SH,电力/综合能源,6.27,6.50
新奥股份,600803.SH,电力/综合能源,19.02,19.50
华夏银行,600015.SH,银行/股份行,6.35,6.10
成都银行,601838.SH,银行/城商行,20.05,21.00
招商银行,600036.SH,银行/股份行,41.35,43.00
兴业银行,601166.SH,银行/股份行,18.13,18.80
中国移动,600941.SH,公用事业/通信,97.72,101.00
浙能电力,600023.SH,电力/火电,5.02,4.70
贵阳银行,601997.SH,银行/城商行,5.62,4.90
平安银行,000001.SZ,银行/股份行,11.74,10.60
伟明环保,603568.SH,公用事业/环保,13.76,13.80
皖通高速,600012.SH,公用事业/高速,15.78,15.50
北京银行,601169.SH,银行/城商行,5.59,5.50
华能国际,600011.SH,电力/火电,6.95,6.60
粤高速A,000429.SZ,公用事业/高速,12.64,12.50
光大银行,601818.SH,银行/股份行,3.02,2.90
常熟银行,601128.SH,银行/农商行,6.41,6.40
长江电力,600900.SH,电力/水电,28.45,28.50
紫金矿业,601899.SH,周期/有色,32.26,30.00
中国外运,601598.SH,公用事业/物流,6.51,5.80
宁波银行,002142.SZ,银行/城商行,35.50,34.50
山东高速,600350.SH,公用事业/高速,10.15,9.50
沪农商行,601825.SH,银行/农商行,8.82,8.50
宁波港,601018.SH,公用事业/港口,3.51,3.20
盐田港,000088.SZ,公用事业/港口,4.58,4.40
交通银行,601328.SH,银行/六大行,7.48,7.30
江苏银行,600919.SH,银行/城商行,12.57,12.70
南京银行,601009.SH,银行/城商行,12.24,12.00
渝农商行,601077.SH,银行/农商行,6.70,6.30
宁沪高速,600377.SH,公用事业/高速,12.60,12.00
云铝股份,000807.SZ,周期/有色,27.29,22.50
川投能源,600674.SH,电力/水电,15.95,16.00
长沙银行,601577.SH,银行/城商行,9.93,9.20
江西铜业,600362.SH,周期/有色,45.78,37.00
招商公路,001965.SZ,公用事业/高速,9.80,9.20
云南铜业,000878.SZ,周期/有色,17.18,14.50
国电电力,600795.SH,电力/综合能源,5.32,4.80
中国电信,601728.SH,公用事业/通信,6.29,6.05
招商港口,001872.SZ,公用事业/港口,23.34,21.80
瀚蓝环境,600323.SH,公用事业/环保,29.54,27.00
福能股份,600483.SH,电力/综合能源,11.08,10.50
中国铝业,601600.SH,周期/有色,9.44,7.80
首创环保,600008.SH,公用事业/环保,2.79,2.50
青岛港,601298.SH,公用事业/港口,9.51,9.00
上港集团,600018.SH,公用事业/港口,5.49,5.10
中信银行,601998.SH,银行/股份行,8.92,8.00
唐山港,601000.SH,公用事业/港口,4.53,4.20
桂冠电力,600236.SH,电力/水电,10.07,8.80
邮储银行,601658.SH,银行/六大行,5.46,5.10
华电国际,600027.SH,电力/火电,4.88,4.40
工商银行,601398.SH,银行/六大行,8.11,7.30
中谷物流,603565.SH,周期/航运,11.87,9.50
洛阳钼业,603993.SH,周期/有色,18.15,15.50
浦发银行,600000.SH,银行/股份行,9.26,8.20
中国联通,600050.SH,公用事业/通信,4.21,3.90
苏州银行,002966.SZ,银行/城商行,9.30,8.60
内蒙华电,600863.SH,电力/火电,4.84,4.30
浙商银行,601916.SH,银行/股份行,2.95,2.60
农业银行,601288.SH,银行/六大行,6.97,6.10
上海银行,601229.SH,银行/城商行,9.72,8.50
大秦铁路,601006.SH,公用事业/铁路,4.80,4.20
建设银行,601939.SH,银行/六大行,11.02,9.60
国投电力,600886.SH,电力/水电,14.46,13.20
中国银行,601988.SH,银行/六大行,6.57,5.70
中国神华,601088.SH,周期/煤炭,47.51,42.00
杭州银行,600926.SH,银行/城商行,17.51,15.80
华能水电,600025.SH,电力/水电,9.83,8.60
中国广核,003816.SZ,电力/核电,4.33,3.80
中国核电,601985.SH,电力/核电,9.05,8.00
陕西煤业,601225.SH,周期/煤炭,26.05,22.00
晋控煤业,601001.SH,周期/煤炭,16.63,12.50
恒源煤电,600971.SH,周期/煤炭,8.62,6.50
兖矿能源,600188.SH,周期/煤炭,21.38,16.00
